TYPE OF TEA,WATER EXTRACT  ,,,CRUDE FIBRE,,,CAFFEINE ,,,TPC,,,AOA,,
,Min,Max,MV+/-SD,Min,Max,MV+/-SD,Min,Max,MV+/-SD,Min,Max,MV+/-SD,Min,Max,MV+/-SD
Black ,29.5,47.1,40.3+/-4.5,8.9,14.1,11.7+/-1.7,1,3.6,2.7+/-0.8,9.5,13.3,11.1+/-0.8,20.8,23.5,22.0+/-1.1
Green,32.7,48.7,40.7+/-5.4,1.8,20.5,15.5+/-3.0,1.1,2.8,2.1+/-0.6,12.9,16.1,14.9+/-0.6,26.1,35.3,30.0+/-1.2
BTSP,23.4,40.1,33.3+/-4.7,1.2,32.8,20.4+/-6.3,1.4,3,2.2+/-0.5,8.3,9.6,8.6+/-0.6,16,18.5,17.4+/-1.2
Oolong,28.6,45.4,,3.9,22.4,,1.1,3.1,,10.2,13,,30.1,31.2,
White,28.5,45.3,,4,22.5,,1.2,3.2,,10.3,13.1,,26.4,26.7,
